Saraksts,Partija,Numurs,Vards,Riga,Vidzeme,Latgale,Kurzeme,Zemgale
2,"""SUVERENITĀTE""",25,Artis Silavnieks,10,,,,
2,"""SUVERENITĀTE""",26,Aleksandra Siliniece,,,4,,
2,"""SUVERENITĀTE""",27,Aivars Silinieks,2,,,,
2,"""SUVERENITĀTE""",28,Georgijs Sokolovskis,,9,,,
2,"""SUVERENITĀTE""",29,Lita Sproģe,,,,2,
2,"""SUVERENITĀTE""",30,Ēvalds Staris,,,6,,
2,"""SUVERENITĀTE""",31,Maira Stumbre,7,,,,
2,"""SUVERENITĀTE""",32,Agris Sūna,,2,,,
2,"""SUVERENITĀTE""",33,Armands Šenbergs,5,,,,
2,"""SUVERENITĀTE""",34,Kristīne Ševeļova,,,,,6
2,"""SUVERENITĀTE""",35,Jevgēnijs Šuļga,,,5,,
2,"""SUVERENITĀTE""",36,Ēriks Trukšāns,,,8,,
2,"""SUVERENITĀTE""",37,Dmitrijs Usins,,,1,,
2,"""SUVERENITĀTE""",38,Kaspars Vainovskis,,7,,,
2,"""SUVERENITĀTE""",39,Andrejs Vasiļjevs,,,3,,
2,"""SUVERENITĀTE""",40,Guntra Vīksna,,1,,,
2,"""SUVERENITĀTE""",41,Normunds Vīrs,,,,1,
2,"""SUVERENITĀTE""",42,Andžejs Zdanovičs,14,,,,
2,"""SUVERENITĀTE""",43,Jūlija Ždanova,,5,,,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",1,Anrijs Aumalis,1,,,,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",2,Dace Brimerberga,,,,,1
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",3,Jeļena Gerasimova,3,,,,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",4,Ilva Ivaska,,,,4,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",5,Ieva Kantmane,,1,,,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",6,Baiba Kņūta,,,,,2
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",7,Vika Koha,,2,,,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",8,Marita Koha,,,,,4
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",9,Taiga Lasmane,,,,1,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",10,Kaspars Lazdāns,,,1,,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",11,Anna Naumova,,,,,3
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",12,Vizma Petrēvica,,,,3,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",13,Baiba Stepanova,4,,,,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",14,Līga Šalma,,,2,,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",15,Vilnis Šlars,2,,,,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",16,Dina Šulca,,3,,,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",17,Vēsma Švinberga,,,,5,
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",18,Antra Treide,,,,2,
4,"Partija ""VIENOTĪBA""",1,Hosams Abu Meri,17,,,,
4,"Partija ""VIENOTĪBA""",2,Aldis Adamovičs,,,2,,
4,"Partija ""VIENOTĪBA""",3,Arvils Ašeradens,,8,,,
4,"Partija ""VIENOTĪBA""",4,Solvita Āboltiņa,,,,1,
4,"Partija ""VIENOTĪBA""",5,Alis Balbārzdis,,25,,,
4,"Partija ""VIENOTĪBA""",6,Edvīns Bartkevičs,,10,,,
4,"Partija ""VIENOTĪBA""",7,Lita Beire,21,,,,
4,"Partija ""VIENOTĪBA""",8,Zigfrīds Berezovskis,30,,,,
4,"Partija ""VIENOTĪBA""",9,Aivars Bernāns,,,15,,
4,"Partija ""VIENOTĪBA""",10,Iveta Blaua,,19,,,
4,"Partija ""VIENOTĪBA""",11,Inesis Boķis,,2,,,
4,"Partija ""VIENOTĪBA""",12,Aivars Broks,,,4,,
4,"Partija ""VIENOTĪBA""",13,Anna Buša,22,,,,
4,"Partija ""VIENOTĪBA""",14,Krišjānis Bušs,,,,,8
4,"Partija ""VIENOTĪBA""",15,Guntis Būmeisters,,,,13,
4,"Partija ""VIENOTĪBA""",16,Lolita Čigāne,4,,,,
4,"Partija ""VIENOTĪBA""",17,Raimonds Čudars,,11,,,
4,"Partija ""VIENOTĪBA""",18,Guntis Čukurs,,,,14,
4,"Partija ""VIENOTĪBA""",19,Ints Dālderis,,,,2,
4,"Partija ""VIENOTĪBA""",20,Vjačeslavs Dombrovskis,,,,,3
4,"Partija ""VIENOTĪBA""",21,Vilnis Dragunas,,,,11,
4,"Partija ""VIENOTĪBA""",22,Ina Druviete,,6,,,
4,"Partija ""VIENOTĪBA""",23,Edgars Engīzers,8,,,,
4,"Partija ""VIENOTĪBA""",24,Kārlis Eņģelis,16,,,,
4,"Partija ""VIENOTĪBA""",25,Sarmīte Ēlerte,10,,,,
4,"Partija ""VIENOTĪBA""",26,Renārs Freibergs,,22,,,
4,"Partija ""VIENOTĪBA""",27,Valdis Gavars,13,,,,
4,"Partija ""VIENOTĪBA""",28,Dmitrijs Golubevs,31,,,,
4,"Partija ""VIENOTĪBA""",29,Guntis Grūba,,27,,,
4,"Partija ""VIENOTĪBA""",30,Artis Gustovskis,,,,6,
4,"Partija ""VIENOTĪBA""",31,Astrīda Harju,,17,,,
4,"Partija ""VIENOTĪBA""",32,Bierants Ignāts,27,,,,
4,"Partija ""VIENOTĪBA""",33,Edgars Ikstens,,,,8,
4,"Partija ""VIENOTĪBA""",34,Kārlis Irbe,33,,,,
4,"Partija ""VIENOTĪBA""",35,Pauls Irbins,,18,,,
4,"Partija ""VIENOTĪBA""",36,Jāzeps Janiševs,,28,,,
4,"Partija ""VIENOTĪBA""",37,Nils Josts,23,,,,
4,"Partija ""VIENOTĪBA""",38,Andrejs Judins,5,,,,
4,"Partija ""VIENOTĪBA""",39,Jānis Junkurs,,,,10,
4,"Partija ""VIENOTĪBA""",40,Roberts Jurķis,,21,,,
4,"Partija ""VIENOTĪBA""",41,Inese Kalniņa,19,,,,
4,"Partija ""VIENOTĪBA""",42,Zanda Kalniņa-Lukaševica,,4,,,
4,"Partija ""VIENOTĪBA""",43,Ojārs Ēriks Kalniņš,2,,,,
4,"Partija ""VIENOTĪBA""",44,Dace Kļaviņa,,26,,,
4,"Partija ""VIENOTĪBA""",45,Evija Kolberga,20,,,,
4,"Partija ""VIENOTĪBA""",46,Uldis Kolužs,,,,,12
4,"Partija ""VIENOTĪBA""",47,Karina Korna,,,,4,
4,"Partija ""VIENOTĪBA""",48,Rihards Kozlovskis,6,,,,
4,"Partija ""VIENOTĪBA""",49,Jānis Kupris,,,16,,
4,"Partija ""VIENOTĪBA""",50,Janīna Kursīte,,,8,,
4,"Partija ""VIENOTĪBA""",51,Sarmīte Ķikuste,,,7,,
4,"Partija ""VIENOTĪBA""",52,Vilnis Ķirsis,,12,,,
4,"Partija ""VIENOTĪBA""",53,Madars Lasmanis,,,,,14
4,"Partija ""VIENOTĪBA""",54,Ainars Latkovskis,,3,,,
4,"Partija ""VIENOTĪBA""",55,Jānis Lazdāns,24,,,,
4,"Partija ""VIENOTĪBA""",56,Atis Lejiņš,,,,,5
4,"Partija ""VIENOTĪBA""",57,Liene Liepiņa,,15,,,
4,"Partija ""VIENOTĪBA""",58,Gatis Liepiņš,18,,,,
4,"Partija ""VIENOTĪBA""",59,Krišjānis Liepiņš,25,,,,
4,"Partija ""VIENOTĪBA""",60,Inese Lībiņa-Egnere,,,,3,
4,"Partija ""VIENOTĪBA""",61,Ainars Lodziņš,34,,,,
4,"Partija ""VIENOTĪBA""",62,Aleksejs Loskutovs,3,,,,
4,"Partija ""VIENOTĪBA""",63,Valērijs Makarevičs,,,10,,
4,"Partija ""VIENOTĪBA""",64,Anrijs Matīss,,,1,,
4,"Partija ""VIENOTĪBA""",65,Linda Medene,,7,,,
4,"Partija ""VIENOTĪBA""",66,Vilnis Meškinis,,24,,,
