Saraksts,Partija,Numurs,Vards,Gender,Apgabals,Rangs
2,"""SUVERENITĀTE""",29,Lita Sproģe,Female,Kurzeme,2
2,"""SUVERENITĀTE""",30,Ēvalds Staris,Male,Latgale,6
2,"""SUVERENITĀTE""",31,Maira Stumbre,Female,Riga,7
2,"""SUVERENITĀTE""",32,Agris Sūna,Male,Vidzeme,2
2,"""SUVERENITĀTE""",33,Armands Šenbergs,Male,Riga,5
2,"""SUVERENITĀTE""",34,Kristīne Ševeļova,Female,Zemgale,6
2,"""SUVERENITĀTE""",35,Jevgēnijs Šuļga,Male,Latgale,5
2,"""SUVERENITĀTE""",36,Ēriks Trukšāns,Male,Latgale,8
2,"""SUVERENITĀTE""",37,Dmitrijs Usins,Male,Latgale,1
2,"""SUVERENITĀTE""",38,Kaspars Vainovskis,Male,Vidzeme,7
2,"""SUVERENITĀTE""",39,Andrejs Vasiļjevs,Male,Latgale,3
2,"""SUVERENITĀTE""",40,Guntra Vīksna,Female,Vidzeme,1
2,"""SUVERENITĀTE""",41,Normunds Vīrs,Male,Kurzeme,1
2,"""SUVERENITĀTE""",42,Andžejs Zdanovičs,Male,Riga,14
2,"""SUVERENITĀTE""",43,Jūlija Ždanova,Female,Vidzeme,5
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",1,Anrijs Aumalis,Male,Riga,1
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",2,Dace Brimerberga,Female,Zemgale,1
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",3,Jeļena Gerasimova,Female,Riga,3
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",4,Ilva Ivaska,Female,Kurzeme,4
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",5,Ieva Kantmane,Female,Vidzeme,1
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",6,Baiba Kņūta,Female,Zemgale,2
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",7,Vika Koha,Female,Vidzeme,2
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",8,Marita Koha,Female,Zemgale,4
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",9,Taiga Lasmane,Female,Kurzeme,1
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",10,Kaspars Lazdāns,Male,Latgale,1
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",11,Anna Naumova,Female,Zemgale,3
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",12,Vizma Petrēvica,Female,Kurzeme,3
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",13,Baiba Stepanova,Female,Riga,4
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",14,Līga Šalma,Female,Latgale,2
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",15,Vilnis Šlars,Male,Riga,2
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",16,Dina Šulca,Female,Vidzeme,3
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",17,Vēsma Švinberga,Female,Kurzeme,5
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",18,Antra Treide,Female,Kurzeme,2
4,"Partija ""VIENOTĪBA""",1,Hosams Abu Meri,Male,Riga,17
4,"Partija ""VIENOTĪBA""",2,Aldis Adamovičs,Male,Latgale,2
