Saraksts,Partija,Vards,Apgabals,Numurs,Gads,DarbaVieta,Amats
1,Jaunā VIENOTĪBA,Karina Ploka,Rīga,6,1975,Finanšu ministrija,Ministra padomniece
1,Jaunā VIENOTĪBA,Guntars Račs,Kurzeme,3,1965,"SIA ""Izdevniecība MicRec""",Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Anna Rancāne,Latgale,2,1959,Rēzeknes novada pašvaldība,Mājaslapas satura redaktore
1,Jaunā VIENOTĪBA,Silvija Reinberga,Vidzeme,25,1997,Latvijas Republikas Saeima,Konsultante
1,Jaunā VIENOTĪBA,Jānis Reirs,Zemgale,1,1961,Valsts kanceleja,Finanšu ministrs
1,Jaunā VIENOTĪBA,Edgars Rinkēvičs,Rīga,1,1973,Ministru kabinets (Valsts kanceleja),Ārlietu ministrs
1,Jaunā VIENOTĪBA,Uģis Rotbergs,Rīga,10,1961,Pasaules Dabas Fonds,Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Māris Rozenbergs,Kurzeme,14,1978,LM AUTO SIA,Prokūrists
1,Jaunā VIENOTĪBA,Aigars Rublis,Zemgale,4,1977,Nodarbinātības valsts aģentūra,Jelgavas filiāles vadītājs
1,Jaunā VIENOTĪBA,Linards Rundāns,Rīga,35,1994,"SIA ""AUTEKO & TUV LATVIJA""",tehniskās kontroles speciālists
1,Jaunā VIENOTĪBA,Leonīds Salcevičs,Zemgale,3,1954,Jēkabpils novada dome,Deputāts
1,Jaunā VIENOTĪBA,Ansis Saliņš,Zemgale,16,1983,ZS Iesalnieki 1,Vadītājs
1,Jaunā VIENOTĪBA,Evika Siliņa,Vidzeme,2,1975,Valsts kanceleja,Ministru prezidenta parlamentārā sekretāre
1,Jaunā VIENOTĪBA,Jānis Skrastiņš,Vidzeme,5,1970,Valmieras novada dome,Deputāts.
1,Jaunā VIENOTĪBA,Zane Skujiņa,Rīga,13,1993,Latvijas Paralimpiskā komiteja,Projektu vadītāja un sabiedrisko attiecību vadītāja
1,Jaunā VIENOTĪBA,Jānis Skulte,Vidzeme,20,1976,4Plus sia,Iepirkšanas vadītājs
1,Jaunā VIENOTĪBA,Terēze Stālmane,Vidzeme,22,1993,Vidzemes Tehnoloģiju un dizaina tehnikums,"Skolotāja, projektu vadītāja"
1,Jaunā VIENOTĪBA,Kārlis Strautiņš,Kurzeme,4,1978,"Liepājas Valsts pilsētas izglītības pārvalde, Liepājas Raiņa 6. vidusskola",Direktors
1,Jaunā VIENOTĪBA,Santa Survila,Rīga,16,1969,"Latvijas miopātijas asociācija ""Sartorius""",valdes prezidente
1,Jaunā VIENOTĪBA,Ainārs Sviklis,Zemgale,10,1965,Valsts izglītības satura centrs,Risinājumu attīstības vadītājs
1,Jaunā VIENOTĪBA,Kārlis Šadurskis,Rīga,4,1959,Latvijas Republikas Saeima,deputāts
1,Jaunā VIENOTĪBA,Dace Šēle,Kurzeme,10,1982,"Kuldīgas novada pašvaldības iestāde ""Kuldīgas attīstības aģentūra""",vadītāja
1,Jaunā VIENOTĪBA,Didzis Šēnbergs,Vidzeme,28,1979,Publiskās atmiņas centrs,vēsturnieks
1,Jaunā VIENOTĪBA,Jānis Šiliņš,Rīga,25,1984,Rīgas brīvostas pārvalde,Autotransporta administrators
1,Jaunā VIENOTĪBA,Artūrs Tjušs,Latgale,13,1977,ZS Meža Grumuži,īpašnieks
1,Jaunā VIENOTĪBA,Barba Tuzika,Rīga,20,1969,SIA Možums 1,Ārste
1,Jaunā VIENOTĪBA,Andris Valainis,Latgale,15,1985,"SIA ""AGLYUNA MUNA SĀTA""",Valdes loceklis
1,Jaunā VIENOTĪBA,Toms Vāvere,Rīga,21,1992,"VAS ""Latvijas Pasts""",Vecākais projektu vadītājs
1,Jaunā VIENOTĪBA,Ilze Vergina,Vidzeme,6,1969,Smiltenes vidusskola,direktore
1,Jaunā VIENOTĪBA,Laura Vēverbrante,Zemgale,15,1996,"Politiskā partija ""VIENOTĪBA""",Juriste
1,Jaunā VIENOTĪBA,Jaroslavs Volkovs,Latgale,7,1982,"SIA ""Kind service""",valdes loceklis
1,Jaunā VIENOTĪBA,Atis Zakatistovs,Latgale,8,1968,Latvijas Republikas Saeima,Deputāts
1,Jaunā VIENOTĪBA,Agita Zariņa-Stūre,Vidzeme,8,1971,Valmieras Pārgaujas Valsts ģimnāzija,"direktore, skolotāja"
1,Jaunā VIENOTĪBA,Jānis Zariņš,Vidzeme,11,1996,Rīgas valstspilsētas pašvaldība,"Frakcijas ""Jaunā Vienotība"" galvenais referents"
1,Jaunā VIENOTĪBA,Viesturs Zariņš,Vidzeme,14,1979,"SIA ""KILN Estate""",Valdes loceklis
1,Jaunā VIENOTĪBA,Intars Zēns,Kurzeme,13,1991,"SIA ""Coworking Liepaja""",Valdes priekšsēdētājs
1,Jaunā VIENOTĪBA,Baiba Ziedone-Jansone,Vidzeme,18,1955,Uzņēmēja tūrisma nozarē,pašnodarbinātā
1,Jaunā VIENOTĪBA,Ilze Žūriņa-Davidčuka,Vidzeme,16,1977,Limbažu Bērnu un jauniešu centrs,Direktore
2,"""Latvijas Krievu savienība""",Vladislavs Aleksandrovs,Kurzeme,11,1974,CB Lighthoude Ltd,Direktors
2,"""Latvijas Krievu savienība""",Juris Aleksejevs,Latgale,3,1996,SIA FRAVIA,Celtniecības speciālists
2,"""Latvijas Krievu savienība""",Vjačeslavs Altuhovs,Rīga,23,1935,Latvijas Krievu sociālkulturālā biedrība,priekšsēdētājs
2,"""Latvijas Krievu savienība""",Tatjana Andrijeca,Rīga,10,2000,Studente,
