Saraksts,Partija,OldNumurs,Ievelets,Vards,Gender,Apgabals,Numurs,Ievelets
2,"""SUVERENITĀTE""",36,false,Ēriks Trukšāns,Male,Latgale,8,false
2,"""SUVERENITĀTE""",37,false,Dmitrijs Usins,Male,Latgale,1,false
2,"""SUVERENITĀTE""",38,false,Kaspars Vainovskis,Male,Vidzeme,7,false
2,"""SUVERENITĀTE""",39,false,Andrejs Vasiļjevs,Male,Latgale,3,false
2,"""SUVERENITĀTE""",40,false,Guntra Vīksna,Female,Vidzeme,1,false
2,"""SUVERENITĀTE""",41,false,Normunds Vīrs,Male,Kurzeme,1,false
2,"""SUVERENITĀTE""",42,false,Andžejs Zdanovičs,Male,Riga,14,false
2,"""SUVERENITĀTE""",43,false,Jūlija Ždanova,Female,Vidzeme,5,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",1,false,Anrijs Aumalis,Male,Riga,1,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",2,false,Dace Brimerberga,Female,Zemgale,1,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",3,false,Jeļena Gerasimova,Female,Riga,3,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",4,false,Ilva Ivaska,Female,Kurzeme,4,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",5,false,Ieva Kantmane,Female,Vidzeme,1,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",6,false,Baiba Kņūta,Female,Zemgale,2,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",7,false,Vika Koha,Female,Vidzeme,2,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",8,false,Marita Koha,Female,Zemgale,4,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",9,false,Taiga Lasmane,Female,Kurzeme,1,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",10,false,Kaspars Lazdāns,Male,Latgale,1,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",11,false,Anna Naumova,Female,Zemgale,3,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",12,false,Vizma Petrēvica,Female,Kurzeme,3,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",13,false,Baiba Stepanova,Female,Riga,4,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",14,false,Līga Šalma,Female,Latgale,2,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",15,false,Vilnis Šlars,Male,Riga,2,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",16,false,Dina Šulca,Female,Vidzeme,3,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",17,false,Vēsma Švinberga,Female,Kurzeme,5,false
3,"""Brīvība. Brīvs no bailēm, naida un dusmām""",18,false,Antra Treide,Female,Kurzeme,2,false
4,"Partija ""VIENOTĪBA""",1,false,Hosams Abu Meri,Male,Riga,17,false
4,"Partija ""VIENOTĪBA""",2,true,Aldis Adamovičs,Male,Latgale,2,true
4,"Partija ""VIENOTĪBA""",3,false,Arvils Ašeradens,Male,Vidzeme,8,false
4,"Partija ""VIENOTĪBA""",4,false,Solvita Āboltiņa,Female,Kurzeme,1,false
4,"Partija ""VIENOTĪBA""",5,false,Alis Balbārzdis,Male,Vidzeme,25,false
