Saraksts,Partija,Vards,Ievelets,Gender,Apgabals,Numurs,Gads,DarbaVieta,Amats,Ievelets
1,Jaunā VIENOTĪBA,Ainars Latkovskis,true,Male,Vidzeme,3,1967.0,Latvijas Republikas Saeima,"Deputāts, frakcijas ""Jaunā Vienotība"" priekšsēdētājs",true
1,Jaunā VIENOTĪBA,Jānis Lazdāns,false,Male,Rīga,27,1972.0,Polijas - Latvijas tirdzniecības kamera,Valdes priekšsēdētājs,false
1,Jaunā VIENOTĪBA,Gatis Liepiņš,false,Male,Rīga,15,1989.0,Rīgas valstspilsētas pašvaldība,Rīgas domes priekšsēdētāja vietnieka V. Ķirša padomnieks,false
1,Jaunā VIENOTĪBA,Intars Liepiņš,false,Male,Vidzeme,23,1982.0,Gulbenes novada pašvaldība,Gulbenes novada domes deputāts,false
1,Jaunā VIENOTĪBA,Mārtiņš Limanskis,false,Male,Zemgale,5,1985.0,"SIA ""IKU Eduards""",komercdarbības speciālists,false
1,Jaunā VIENOTĪBA,Inese Lībiņa-Egnere,true,Female,Rīga,2,1977.0,Latvijas Republikas Saeima,13. Saeimas deputāte,true
1,Jaunā VIENOTĪBA,Māris Luste,false,Male,Rīga,23,1973.0,Ieslodzījuma vietu pārvalde,ESF projektu vadītājs,false
1,Jaunā VIENOTĪBA,Edgars Lūks,false,Male,Kurzeme,12,1988.0,AE Lux,Valdes loceklis,false
1,Jaunā VIENOTĪBA,Renārs Manuilovs,false,Male,Zemgale,14,1983.0,Bezdarbnieks,,false
1,Jaunā VIENOTĪBA,Laura Martinova,false,Female,Rīga,38,1990.0,Veselības inspekcija,Inspektore,false
1,Jaunā VIENOTĪBA,Roberts Matulis,false,Male,Rīga,32,1991.0,SIA RM DEALS,Valdes priekšsēdētājs,false
1,Jaunā VIENOTĪBA,Aleksandrs Mironovs,false,Male,Latgale,14,2000.0,Vienotības Jaunatnes organizācija,ārlietu sekretārs un valdes loceklis,false
1,Jaunā VIENOTĪBA,Mārtiņš Neilands,false,Male,Vidzeme,17,1990.0,Rīgas Nami,Būvniecības projektu vadītājs,false
1,Jaunā VIENOTĪBA,Jogita Ozola,false,Female,Rīga,31,1978.0,Rīgas domes Pašvaldības ieņēmumu pārvalde,Aprēķināšanas nodaļas Zemgales priekšpilsētas sektora eksperte,false
1,Jaunā VIENOTĪBA,Ričards Aksels Ozoliņš,false,Male,Rīga,17,1997.0,"SIA ""Getliņi EKO""",Ārējās komunikācijas vadītājs,false
1,Jaunā VIENOTĪBA,Jānis Patmalnieks,true,Male,Rīga,12,1980.0,Valsts Kanceleja,Ministru prezidenta Krišjāņa Kariņa biroja vadītājs,true
1,Jaunā VIENOTĪBA,Jānis Paulovičs,false,Male,Vidzeme,12,1981.0,ZS Plakupu,Īpašnieks,false
1,Jaunā VIENOTĪBA,Dainis Platacis,false,Male,Latgale,5,1963.0,Dagdas Kultūras centra Andrupenes Tautas nams,Pasākumu organizators,false
1,Jaunā VIENOTĪBA,Maruta Plivda,false,Female,Latgale,4,1970.0,SIA Latgales Finanšu Konsultācijas,vecākais grāmatvedis-finansists,false
1,Jaunā VIENOTĪBA,Karina Ploka,false,Female,Rīga,6,1975.0,Finanšu ministrija,Ministra padomniece,false
1,Jaunā VIENOTĪBA,Guntars Račs,false,Male,Kurzeme,3,1965.0,"SIA ""Izdevniecība MicRec""",Valdes priekšsēdētājs,false
1,Jaunā VIENOTĪBA,Anna Rancāne,true,Female,Latgale,2,1959.0,Rēzeknes novada pašvaldība,Mājaslapas satura redaktore,true
1,Jaunā VIENOTĪBA,Silvija Reinberga,false,Female,Vidzeme,25,1997.0,Latvijas Republikas Saeima,Konsultante,false
1,Jaunā VIENOTĪBA,Jānis Reirs,false,Male,Zemgale,1,1961.0,Valsts kanceleja,Finanšu ministrs,false
1,Jaunā VIENOTĪBA,Edgars Rinkēvičs,true,Male,Rīga,1,1973.0,Ministru kabinets (Valsts kanceleja),Ārlietu ministrs,true
1,Jaunā VIENOTĪBA,Uģis Rotbergs,true,Male,Rīga,10,1961.0,Pasaules Dabas Fonds,Valdes priekšsēdētājs,true
1,Jaunā VIENOTĪBA,Māris Rozenbergs,false,Male,Kurzeme,14,1978.0,LM AUTO SIA,Prokūrists,false
1,Jaunā VIENOTĪBA,Aigars Rublis,false,Male,Zemgale,4,1977.0,Nodarbinātības valsts aģentūra,Jelgavas filiāles vadītājs,false
1,Jaunā VIENOTĪBA,Linards Rundāns,false,Male,Rīga,35,1994.0,"SIA ""AUTEKO & TUV LATVIJA""",tehniskās kontroles speciālists,false
1,Jaunā VIENOTĪBA,Leonīds Salcevičs,false,Male,Zemgale,3,1954.0,Jēkabpils novada dome,Deputāts,false
1,Jaunā VIENOTĪBA,Ansis Saliņš,false,Male,Zemgale,16,1983.0,ZS Iesalnieki 1,Vadītājs,false
1,Jaunā VIENOTĪBA,Evika Siliņa,true,Female,Vidzeme,2,1975.0,Valsts kanceleja,Ministru prezidenta parlamentārā sekretāre,true
1,Jaunā VIENOTĪBA,Jānis Skrastiņš,true,Male,Vidzeme,5,1970.0,Valmieras novada dome,Deputāts.,true
1,Jaunā VIENOTĪBA,Zane Skujiņa,true,Female,Rīga,13,1993.0,Latvijas Paralimpiskā komiteja,Projektu vadītāja un sabiedrisko attiecību vadītāja,true
1,Jaunā VIENOTĪBA,Jānis Skulte,false,Male,Vidzeme,20,1976.0,4Plus sia,Iepirkšanas vadītājs,false
1,Jaunā VIENOTĪBA,Terēze Stālmane,false,Female,Vidzeme,22,1993.0,Vidzemes Tehnoloģiju un dizaina tehnikums,"Skolotāja, projektu vadītāja",false
1,Jaunā VIENOTĪBA,Kārlis Strautiņš,false,Male,Kurzeme,4,1978.0,"Liepājas Valsts pilsētas izglītības pārvalde, Liepājas Raiņa 6. vidusskola",Direktors,false
