Saraksts,Partija,Numurs,Vards,Apgabals,Rangs
4,"Partija ""VIENOTĪBA""",34,Kārlis Irbe,Riga,33
4,"Partija ""VIENOTĪBA""",35,Pauls Irbins,Vidzeme,18
4,"Partija ""VIENOTĪBA""",36,Jāzeps Janiševs,Vidzeme,28
4,"Partija ""VIENOTĪBA""",37,Nils Josts,Riga,23
4,"Partija ""VIENOTĪBA""",38,Andrejs Judins,Riga,5
4,"Partija ""VIENOTĪBA""",39,Jānis Junkurs,Kurzeme,10
4,"Partija ""VIENOTĪBA""",40,Roberts Jurķis,Vidzeme,21
4,"Partija ""VIENOTĪBA""",41,Inese Kalniņa,Riga,19
4,"Partija ""VIENOTĪBA""",42,Zanda Kalniņa-Lukaševica,Vidzeme,4
4,"Partija ""VIENOTĪBA""",43,Ojārs Ēriks Kalniņš,Riga,2
4,"Partija ""VIENOTĪBA""",44,Dace Kļaviņa,Vidzeme,26
4,"Partija ""VIENOTĪBA""",45,Evija Kolberga,Riga,20
4,"Partija ""VIENOTĪBA""",46,Uldis Kolužs,Zemgale,12
4,"Partija ""VIENOTĪBA""",47,Karina Korna,Kurzeme,4
4,"Partija ""VIENOTĪBA""",48,Rihards Kozlovskis,Riga,6
4,"Partija ""VIENOTĪBA""",49,Jānis Kupris,Latgale,16
4,"Partija ""VIENOTĪBA""",50,Janīna Kursīte,Latgale,8
4,"Partija ""VIENOTĪBA""",51,Sarmīte Ķikuste,Latgale,7
4,"Partija ""VIENOTĪBA""",52,Vilnis Ķirsis,Vidzeme,12
4,"Partija ""VIENOTĪBA""",53,Madars Lasmanis,Zemgale,14
4,"Partija ""VIENOTĪBA""",54,Ainars Latkovskis,Vidzeme,3
4,"Partija ""VIENOTĪBA""",55,Jānis Lazdāns,Riga,24
4,"Partija ""VIENOTĪBA""",56,Atis Lejiņš,Zemgale,5
4,"Partija ""VIENOTĪBA""",57,Liene Liepiņa,Vidzeme,15
4,"Partija ""VIENOTĪBA""",58,Gatis Liepiņš,Riga,18
4,"Partija ""VIENOTĪBA""",59,Krišjānis Liepiņš,Riga,25
4,"Partija ""VIENOTĪBA""",60,Inese Lībiņa-Egnere,Kurzeme,3
4,"Partija ""VIENOTĪBA""",61,Ainars Lodziņš,Riga,34
4,"Partija ""VIENOTĪBA""",62,Aleksejs Loskutovs,Riga,3
4,"Partija ""VIENOTĪBA""",63,Valērijs Makarevičs,Latgale,10
4,"Partija ""VIENOTĪBA""",64,Anrijs Matīss,Latgale,1
4,"Partija ""VIENOTĪBA""",65,Linda Medene,Vidzeme,7
4,"Partija ""VIENOTĪBA""",66,Vilnis Meškinis,Vidzeme,24
4,"Partija ""VIENOTĪBA""",67,Ināra Mukāne,Latgale,14
4,"Partija ""VIENOTĪBA""",68,Eleonora Obrumāne,Latgale,18
4,"Partija ""VIENOTĪBA""",69,Jānis Ozoliņš,Zemgale,6
4,"Partija ""VIENOTĪBA""",70,Guntis Pirvits,Kurzeme,16
4,"Partija ""VIENOTĪBA""",71,Anna Plauča,Riga,29
4,"Partija ""VIENOTĪBA""",72,Valdis Plaudis,Kurzeme,15
4,"Partija ""VIENOTĪBA""",73,Līvija Plavinska,Latgale,5
4,"Partija ""VIENOTĪBA""",74,Elīna Pļaviņa,Zemgale,17
4,"Partija ""VIENOTĪBA""",75,Laimdota Podze,Riga,32
4,"Partija ""VIENOTĪBA""",76,Inga Priede,Zemgale,7
4,"Partija ""VIENOTĪBA""",77,Olafs Pulks,Riga,9
4,"Partija ""VIENOTĪBA""",78,Gatis Puriņš,Vidzeme,29
4,"Partija ""VIENOTĪBA""",79,Sanita Putniņa,Latgale,12
4,"Partija ""VIENOTĪBA""",80,Renārs Putniņš,Riga,12
4,"Partija ""VIENOTĪBA""",81,Romualds Ražuks,Vidzeme,14
4,"Partija ""VIENOTĪBA""",82,Viesturs Reinfelds,Zemgale,11
4,"Partija ""VIENOTĪBA""",83,Jānis Reirs,Zemgale,1
