Apgabals,Struktūrvienība,Party,Name,Gender,Number,Pluses,Minuses
Riga,Rīga,3. Zaļo un Zemnieku savienība,Dagmāra Enkuzena,Female,37,525,419
Riga,Rīga,3. Zaļo un Zemnieku savienība,Ņina Linde,Female,38,631,507
Riga,Rīga,3. Zaļo un Zemnieku savienība,Krists Bergans-Berģis,Male,39,712,426
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Edgars Kramiņš,Male,1,1677,64
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Kristīne Lindenblate,Female,2,321,339
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Egils Rutkovskis,Male,3,182,219
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Guntars Dzenis,Male,4,179,238
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Simona Kalniņa,Female,5,305,125
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Arturs Lācis,Male,6,145,239
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Andis Šmuksts,Male,7,222,140
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Vita Borisa,Female,8,195,159
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Inga Sprūde,Female,9,280,130
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Poļina Dobrinska,Female,10,107,188
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Ziedonis Liepiņš,Male,11,114,190
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Baiba Voicehoviča,Female,12,264,135
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Māra Veidemane,Female,13,161,142
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Agris Redisons,Male,14,97,165
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Kristīne Ozoliņa,Female,15,101,184
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Vilors Eihmanis,Male,16,97,156
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Ilva Aldiņa,Female,17,100,208
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Sandra Fedotova,Female,18,89,218
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Artūrs Gurskis-Grants,Male,19,92,150
Riga,Rīga,4. TAUTAS KALPI LATVIJAI,Konstantīns Žiharevs,Male,20,78,232
