Apgabals,Struktūrvienība,Party,Name,Gender,Number,Pluses,Minuses
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Ilze Indriksone,Female,1,2912,532
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Artūrs Butāns,Male,2,1513,542
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andis Zariņš,Male,3,1135,506
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Kristīna Ansone,Female,4,740,626
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andris Jankovskis,Male,5,1025,501
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Normunds Dzintars,Male,6,1250,533
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andis Āboliņš,Male,7,728,547
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Edgars Kronbergs,Male,8,641,556
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rimants Ziedonis,Male,9,1122,629
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Marita Lapa,Female,10,495,547
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Dzintars Rušmanis,Male,11,502,497
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Ina Sila,Female,12,450,578
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Megija Paula Bērziņa,Female,13,533,520
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Baiba Rītere,Female,14,514,572
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andris Vārpiņš,Male,15,680,525
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Ramona Petraviča,Female,1,1664,237
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Natālija Magazeina,Female,2,834,159
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Māris Šveiduks,Male,3,843,202
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Sergejs Semenčukovs,Male,4,427,208
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Edvīns Krūmiņš,Male,5,388,165
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Egīls Ceiziņš,Male,6,307,178
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Liene Zāģere,Female,7,349,166
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Kristīne Ķēniņa,Female,8,386,162
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Dana Šlesere,Female,9,810,228
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Anželika Molotanova,Female,10,330,231
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Aivars Molotanovs,Male,11,316,213
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Eduards Zivtiņš,Male,12,644,155
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Aljeta Erdmane,Female,13,285,172
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Andris Baumanis,Male,14,311,160
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Gatis Rozenfelds,Male,15,440,152
Kurzeme,Kurzeme,13. Konservatīvie,Krišjānis Feldmans,Male,1,1113,97
Kurzeme,Kurzeme,13. Konservatīvie,Uldis Budriķis,Male,2,419,122
Kurzeme,Kurzeme,13. Konservatīvie,Santa Suhaka,Female,3,261,149
Kurzeme,Kurzeme,13. Konservatīvie,Bruno Jurševics,Male,4,351,161
Kurzeme,Kurzeme,13. Konservatīvie,Romāns Ernsons,Male,5,369,142
Kurzeme,Kurzeme,13. Konservatīvie,Juris Orinskis,Male,6,209,150
Kurzeme,Kurzeme,13. Konservatīvie,Ivo Tikums,Male,7,247,126
Kurzeme,Kurzeme,13. Konservatīvie,Maira Kutuļska,Female,8,205,141
Kurzeme,Kurzeme,13. Konservatīvie,Evita Pētersone,Female,9,295,142
Kurzeme,Kurzeme,13. Konservatīvie,Anželika Jurševica,Female,10,231,180
Kurzeme,Kurzeme,13. Konservatīvie,Andris Saulītis,Male,11,234,131
Kurzeme,Kurzeme,13. Konservatīvie,Elena Blumberga,Female,12,182,143
Kurzeme,Kurzeme,13. Konservatīvie,Kristers Andersons,Male,13,217,121
Kurzeme,Kurzeme,13. Konservatīvie,Mārtiņš Štāls,Male,14,221,131
Kurzeme,Kurzeme,13. Konservatīvie,Sandis Pūce,Male,15,274,147
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Agris Freifalts,Male,1,866,63
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Lāsma Skrābe,Female,2,606,87
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Aiva Daukša,Female,3,520,91
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Normunds Skrābe,Male,4,530,94
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Evija Kārkliņa,Female,5,474,81
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Jana Sietiņa,Female,6,426,73
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Laura Kontrauska,Female,7,397,88
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Inga Antensone,Female,8,429,71
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Romunds Brālis,Male,9,504,74
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Eleonora Grigāne,Female,10,382,78
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Roberts Brīvlauks,Male,11,413,64
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Kristers Niklāvs Koškins,Male,12,417,92
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Inga Lazarenoka,Female,13,410,86
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Raivis Fricsons,Male,14,418,65
Kurzeme,Kurzeme,"14. Politiskā partija ""KATRAM UN KATRAI""",Ivars Vinters,Male,15,468,55
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Liene Gātere,Female,1,887,190
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Edgars Zelderis,Male,2,1217,210
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Miroslavs Kodis,Male,3,438,286
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Marta Kraujiņa,Female,4,374,234
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Ilva Norenberga,Female,5,742,188
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Lauris Pīlēģis,Male,6,622,201
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Ginta Ernštreite,Female,7,290,243
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Kalvis Kalniņš,Male,8,540,213
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Dāvis Lodziņš,Male,9,370,174
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Sintija Ozoliņa,Female,10,402,183
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Niks Derums,Male,11,362,214
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Katrīna Vītola,Female,12,323,184
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Māris Meldris,Male,13,263,191
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Jurģis Kūliņš,Male,14,249,219
Kurzeme,Kurzeme,"15. ""PROGRESĪVIE""",Andris Diržininks,Male,15,248,227
Kurzeme,Kurzeme,16. Attīstībai/Par!,Kristaps Eklons,Male,1,787,138
Kurzeme,Kurzeme,16. Attīstībai/Par!,Dace Bluķe,Female,2,371,170
Kurzeme,Kurzeme,16. Attīstībai/Par!,Ainārs Dimants,Male,3,289,181
Kurzeme,Kurzeme,16. Attīstībai/Par!,Uldis Zupa,Male,4,308,184
Kurzeme,Kurzeme,16. Attīstībai/Par!,Ģirts Jankovskis,Male,5,239,172
Kurzeme,Kurzeme,16. Attīstībai/Par!,Nora Patmalniece,Female,6,185,179
Kurzeme,Kurzeme,16. Attīstībai/Par!,Ēriks Lingebērziņš,Male,7,151,165
Kurzeme,Kurzeme,16. Attīstībai/Par!,Liene Reine-Miteva,Female,8,163,172
Kurzeme,Kurzeme,16. Attīstībai/Par!,Gunta Jankovska,Female,9,200,168
Kurzeme,Kurzeme,16. Attīstībai/Par!,Reinis Strolis,Male,10,160,162
Kurzeme,Kurzeme,16. Attīstībai/Par!,Indra Rassa,Female,11,257,223
Kurzeme,Kurzeme,16. Attīstībai/Par!,Nadīna Millere,Female,12,151,180
Kurzeme,Kurzeme,16. Attīstībai/Par!,Gatis Nierliņš,Male,13,100,212
Kurzeme,Kurzeme,16. Attīstībai/Par!,Aivars Graikstis,Male,14,116,182
Kurzeme,Kurzeme,16. Attīstībai/Par!,Jurģis Spulenieks,Male,15,163,204
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Guntis Rolis,Male,1,62,10
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Jānis Gaudiešus,Male,2,45,10
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Egils Matīss Madelis,Male,3,46,10
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Iveta Samiņa,Female,4,44,9
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Armands Bramanis,Male,5,34,10
Kurzeme,Kurzeme,"17. ""Apvienība Latvijai""",Jānis Lesiņš,Male,6,35,8
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Māris Kučinskis,Male,1,5781,2841
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Linda Matisone,Female,2,3247,1264
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Aija Barča,Female,3,2943,4031
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Edgars Putra,Male,4,3179,1640
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Aivis Landmanis,Male,5,1104,1387
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Atis Deksnis,Male,6,3123,1270
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Krista Vīndedze,Female,7,1533,1218
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Raivis Kalējs,Male,8,2433,1011
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Kristīne Niedre-Lathere,Female,9,2235,1256
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Ainis Stūrmanis,Male,10,1091,1122
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Valdis Skujiņš,Male,11,1743,2350
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Māris Dadzis,Male,12,1384,1093
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Jānis Džeriņš,Male,13,1441,1307
Kurzeme,Kurzeme,"18. ""APVIENOTAIS SARAKSTS - Latvijas Zaļā partija, Latvijas Reģionu Apvienība, Liepājas partija""",Ansis Brūns,Male,14,878,1193
