Apgabals,Struktūrvienība,Party,Name,Number,Pluses,Minuses
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Emīlija Seklīte,3,89,6
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Eduards Rēdlihs,4,91,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Kaspars Feldmanis,5,88,4
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Jānis Mežciems,6,83,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Dainis Grosbahs,7,83,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Aija Šmite,8,86,6
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Anita Purgale,9,84,4
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Edgars Spridzāns,10,78,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Toms Gailišs,11,73,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Austris Kukulis,12,74,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Stevens Muižnieks,13,74,5
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Neviens Neviens,14,0,0
Kurzeme,Kurzeme,"9. Politiskā partija ""Tautas varas spēks""",Rainelda Greize,15,78,5
Kurzeme,Kurzeme,"10. Partija ""Vienoti Latvijai""",Madara Gobziņa,1,42,10
Kurzeme,Kurzeme,"10. Partija ""Vienoti Latvijai""",Iveta Kleinberga-Rupaine,2,22,9
Kurzeme,Kurzeme,"10. Partija ""Vienoti Latvijai""",Edgars Auziņš,3,38,8
Kurzeme,Kurzeme,"10. Partija ""Vienoti Latvijai""",Mārtiņš Zeidaks,4,33,8
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Ilze Indriksone,1,2912,532
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Artūrs Butāns,2,1513,542
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andis Zariņš,3,1135,506
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Kristīna Ansone,4,740,626
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andris Jankovskis,5,1025,501
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Normunds Dzintars,6,1250,533
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andis Āboliņš,7,728,547
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Edgars Kronbergs,8,641,556
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Rimants Ziedonis,9,1122,629
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Marita Lapa,10,495,547
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Dzintars Rušmanis,11,502,497
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Ina Sila,12,450,578
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Megija Paula Bērziņa,13,533,520
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Baiba Rītere,14,514,572
Kurzeme,Kurzeme,"11. Nacionālā apvienība ""Visu Latvijai!""-""Tēvzemei un Brīvībai/LNNK""",Andris Vārpiņš,15,680,525
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Ramona Petraviča,1,1664,237
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Natālija Magazeina,2,834,159
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Māris Šveiduks,3,843,202
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Sergejs Semenčukovs,4,427,208
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Edvīns Krūmiņš,5,388,165
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Egīls Ceiziņš,6,307,178
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Liene Zāģere,7,349,166
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Kristīne Ķēniņa,8,386,162
Kurzeme,Kurzeme,12. LATVIJA PIRMAJĀ VIETĀ,Dana Šlesere,9,810,228
